P_Ac_in (W),Charge Aging cost (€ct/kWh),Cap_Loss_CH [p.u./HalfCycle],,P_Ac_out,Discharge Aging cost (€ct/kWh),Cap_Loss_DCH [p.u./HalfCycle]
-7704,0.205445533,5.62864E-07,,7704,0.116066496,3.18E-07
-7740,0.205702929,5.6357E-07,,7740,0.116066496,3.18E-07
-7776,0.205945027,5.64233E-07,,7776,0.116066496,3.18E-07
-7812,0.206203957,5.64942E-07,,7812,0.116066496,3.18E-07
-7848,0.206463681,5.65654E-07,,7848,0.116066496,3.18E-07
-7884,0.206724204,5.66368E-07,,7884,0.116066496,3.18E-07
-7920,0.206969245,5.67039E-07,,7920,0.116066496,3.18E-07
-7956,0.207231322,5.67757E-07,,7956,0.116066496,3.18E-07
-7992,0.207494204,5.68477E-07,,7992,0.116066496,3.18E-07
-8028,0.207757896,5.692E-07,,8028,0.116066496,3.18E-07
-8064,0.208005918,5.69879E-07,,8064,0.116066496,3.18E-07
-8100,0.208271185,5.70606E-07,,8100,0.116066496,3.18E-07
-8136,0.208537268,5.71335E-07,,8136,0.116066496,3.18E-07
-8172,0.208804171,5.72066E-07,,8172,0.116066496,3.18E-07
-8208,0.209055214,5.72754E-07,,8208,0.116066496,3.18E-07
-8244,0.209323714,5.7349E-07,,8244,0.116066496,3.18E-07
-8280,0.20959304,5.74228E-07,,8280,0.116066496,3.18E-07
-8316,0.209863198,5.74968E-07,,8316,0.116066496,3.18E-07
-8352,0.210117303,5.75664E-07,,8352,0.116066496,3.18E-07
-8388,0.210389078,5.76408E-07,,8388,0.116066496,3.18E-07
-8424,0.210661692,5.77155E-07,,8424,0.116066496,3.18E-07
-8460,0.210935148,5.77905E-07,,8460,0.116066496,3.18E-07
-8496,0.211192357,5.78609E-07,,8496,0.116066496,3.18E-07
-8532,0.211467452,5.79363E-07,,8532,0.116066496,3.18E-07
-8568,0.211743397,5.80119E-07,,8568,0.116066496,3.18E-07
-8604,0.212020196,5.80877E-07,,8604,0.116066496,3.18E-07
-8640,0.21228055,5.81591E-07,,8640,0.116066496,3.18E-07
-8676,0.21255901,5.82353E-07,,8676,0.116066496,3.18E-07
-8712,0.212838331,5.83119E-07,,8712,0.116066496,3.18E-07
-8748,0.213118518,5.83886E-07,,8748,0.116066496,3.18E-07
-8784,0.213382059,5.84608E-07,,8784,0.116066496,3.18E-07
-8820,0.213663929,5.85381E-07,,8820,0.116066496,3.18E-07
-8856,0.213946673,5.86155E-07,,8856,0.116066496,3.18E-07
-8892,0.214230293,5.86932E-07,,8892,0.116066496,3.18E-07
-8928,0.214497065,5.87663E-07,,8928,0.116066496,3.18E-07
-8964,0.214782392,5.88445E-07,,8964,0.116066496,3.18E-07
-9000,0.215068603,5.89229E-07,,9000,0.116066496,3.18E-07
-9036,0.215355703,5.90016E-07,,9036,0.116066496,3.18E-07
-9072,0.21562575,5.90755E-07,,9072,0.116066496,3.18E-07
-9108,0.21591458,5.91547E-07,,9108,0.116066496,3.18E-07
-9144,0.216204307,5.92341E-07,,9144,0.116066496,3.18E-07
-9180,0.216494934,5.93137E-07,,9180,0.116066496,3.18E-07
-9216,0.216768299,5.93886E-07,,9216,0.116066496,3.18E-07
-9252,0.21706068,5.94687E-07,,9252,0.116066496,3.18E-07
-9288,0.21735397,5.9549E-07,,9288,0.116066496,3.18E-07
-9324,0.217648172,5.96296E-07,,9324,0.116066496,3.18E-07
-9360,0.217924901,5.97055E-07,,9360,0.116066496,3.18E-07
-9396,0.218220881,5.97865E-07,,9396,0.116066496,3.18E-07
-9432,0.218517782,5.98679E-07,,9432,0.116066496,3.18E-07
-9468,0.218815608,5.99495E-07,,9468,0.116066496,3.18E-07
-9504,0.219095747,6.00262E-07,,9504,0.116066496,3.18E-07
-9540,0.219395374,6.01083E-07,,9540,0.116066496,3.18E-07
-9576,0.219695936,6.01907E-07,,9576,0.116066496,3.18E-07
-9612,0.219997435,6.02733E-07,,9612,0.116066496,3.18E-07
-9648,0.22028103,6.0351E-07,,9648,0.116066496,3.18E-07
-9684,0.220584355,6.04341E-07,,9684,0.116066496,3.18E-07
-9720,0.220888627,6.05174E-07,,9720,0.116066496,3.18E-07
-9756,0.221193849,6.06011E-07,,9756,0.116066496,3.18E-07
-9792,0.221480947,6.06797E-07,,9792,0.116066496,3.18E-07
-9828,0.22178802,6.07638E-07,,9828,0.116066496,3.18E-07
-9864,0.222096053,6.08482E-07,,9864,0.116066496,3.18E-07
-9900,0.222405049,6.09329E-07,,9900,0.116066496,3.18E-07
-9936,0.222695698,6.10125E-07,,9936,0.116066496,3.18E-07
-9972,0.22300657,6.10977E-07,,9972,0.116066496,3.18E-07
-10008,0.223318416,6.11831E-07,,10008,0.116066496,3.18E-07
-10044,0.223631238,6.12688E-07,,10044,0.116066496,3.18E-07
-10080,0.223925486,6.13494E-07,,10080,0.116066496,3.18E-07
-10116,0.22424021,6.14357E-07,,10116,0.116066496,3.18E-07
-10152,0.22455592,6.15222E-07,,10152,0.116066496,3.18E-07
-10188,0.224872619,6.16089E-07,,10188,0.116066496,3.18E-07
-10224,0.225170517,6.16906E-07,,10224,0.116066496,3.18E-07
-10260,0.225489144,6.17778E-07,,10260,0.116066496,3.18E-07
-10296,0.225808772,6.18654E-07,,10296,0.116066496,3.18E-07
-10332,0.226129403,6.19533E-07,,10332,0.116066496,3.18E-07
-10368,0.226430999,6.20359E-07,,10368,0.116066496,3.18E-07
