P_Batt_in (W),,Cap_Loss_CH [p.u./HalfCycle],pu/dth
-7656.108791,0.212669689,5.70E-07,1.21E-07
-7691.488153,0.213652449,5.71E-07,1.22E-07
-7726.864703,0.214635131,5.71E-07,1.23E-07
-7762.238442,0.215617735,5.72E-07,1.23E-07
-7795.408696,0.21653913,5.73E-07,1.24E-07
-7830.776989,0.217521583,5.73E-07,1.25E-07
-7866.142474,0.218503958,5.74E-07,1.25E-07
-7901.50515,0.219486254,5.75E-07,1.26E-07
-7934.665032,0.220407362,5.76E-07,1.27E-07
-7970.022268,0.221389507,5.76E-07,1.28E-07
-8005.376697,0.222371575,5.77E-07,1.28E-07
-8040.728321,0.223353564,5.78E-07,1.29E-07
-8073.87784,0.224274384,5.79E-07,1.30E-07
-8109.224029,0.225256223,5.79E-07,1.30E-07
-8144.567414,0.226237984,5.80E-07,1.31E-07
-8179.907995,0.227219667,5.81E-07,1.32E-07
-8213.047162,0.228140199,5.82E-07,1.33E-07
-8248.382314,0.229121731,5.82E-07,1.33E-07
-8283.714664,0.230103185,5.83E-07,1.34E-07
-8319.044214,0.231084562,5.84E-07,1.35E-07
-8352.173038,0.232004807,5.85E-07,1.36E-07
-8387.497163,0.232986032,5.85E-07,1.36E-07
-8422.818489,0.23396718,5.86E-07,1.37E-07
-8458.137017,0.23494825,5.87E-07,1.38E-07
-8491.255508,0.235868209,5.88E-07,1.39E-07
-8526.568616,0.236849128,5.88E-07,1.39E-07
-8561.878929,0.23782997,5.89E-07,1.40E-07
-8597.186446,0.238810735,5.90E-07,1.41E-07
-8630.294613,0.239730406,5.91E-07,1.42E-07
-8665.596715,0.24071102,5.92E-07,1.43E-07
-8700.896025,0.241691556,5.92E-07,1.43E-07
-8736.192541,0.242672015,5.93E-07,1.44E-07
-8769.290394,0.2435914,5.94E-07,1.45E-07
-8804.581501,0.244571708,5.95E-07,1.46E-07
-8839.869817,0.245551939,5.95E-07,1.46E-07
-8875.155343,0.246532093,5.96E-07,1.47E-07
-8908.242891,0.247451191,5.97E-07,1.48E-07
-8943.523012,0.248431195,5.98E-07,1.49E-07
-8978.800345,0.249411121,5.99E-07,1.49E-07
-9014.074891,0.250390969,5.99E-07,1.50E-07
-9047.152144,0.251309782,6.00E-07,1.51E-07
-9082.42129,0.25228948,6.01E-07,1.52E-07
-9117.687651,0.253269101,6.02E-07,1.52E-07
-9152.951226,0.254248645,6.03E-07,1.53E-07
-9186.018195,0.255167172,6.04E-07,1.54E-07
-9221.276376,0.256146566,6.04E-07,1.55E-07
-9256.531774,0.257125883,6.05E-07,1.56E-07
-9291.78439,0.258105122,6.06E-07,1.56E-07
-9324.841082,0.259023363,6.07E-07,1.57E-07
-9360.088309,0.260002453,6.08E-07,1.58E-07
-9395.332755,0.260981465,6.08E-07,1.59E-07
-9430.574421,0.261960401,6.09E-07,1.60E-07
-9463.620848,0.262878357,6.10E-07,1.60E-07
-9498.857129,0.263857142,6.11E-07,1.61E-07
-9534.090633,0.264835851,6.12E-07,1.62E-07
-9569.32136,0.265814482,6.13E-07,1.63E-07
-9602.35753,0.266732154,6.13E-07,1.64E-07
-9637.582877,0.267710635,6.14E-07,1.64E-07
-9672.805449,0.26868904,6.15E-07,1.65E-07
-9708.025247,0.269667368,6.16E-07,1.66E-07
-9741.05117,0.270584755,6.17E-07,1.67E-07
-9776.265593,0.271562933,6.18E-07,1.68E-07
-9811.477244,0.272541035,6.19E-07,1.69E-07
-9846.686122,0.273519059,6.20E-07,1.70E-07
-9879.701808,0.274436161,6.20E-07,1.70E-07
-9914.905317,0.275414037,6.21E-07,1.71E-07
-9950.106056,0.276391835,6.22E-07,1.72E-07
-9985.304026,0.277369556,6.23E-07,1.73E-07
-10018.30948,0.278286374,6.24E-07,1.74E-07
-10053.50209,0.279263947,6.25E-07,1.75E-07
-10088.69193,0.280241443,6.26E-07,1.75E-07
-10123.879,0.281218861,6.27E-07,1.76E-07
-10156.87424,0.282135396,6.27E-07,1.77E-07
-10192.05595,0.283112665,6.28E-07,1.78E-07
-10227.23489,0.284089858,6.29E-07,1.79E-07
-10262.41108,0.285066974,6.30E-07,1.80E-07
-10295.39611,0.285983225,6.31E-07,1.80E-07
-10330.56694,0.286960193,6.32E-07,1.81E-07
-10365.735,0.287937083,6.33E-07,1.82E-07
-10400.9003,0.288913897,6.34E-07,1.83E-07
-10433.87514,0.289829865,6.35E-07,1.84E-07
-10469.03509,0.29080653,6.36E-07,1.85E-07
-10504.19228,0.291783119,6.36E-07,1.86E-07
-10539.34672,0.292759631,6.37E-07,1.86E-07
-10572.31136,0.293675316,6.38E-07,1.87E-07
-10607.46045,0.294651679,6.39E-07,1.88E-07
-10642.60678,0.295627966,6.40E-07,1.89E-07
-10677.75036,0.296604177,6.41E-07,1.90E-07
-10710.70482,0.297519578,6.42E-07,1.91E-07
-10745.84306,0.298495641,6.43E-07,1.92E-07
-10780.97854,0.299471626,6.44E-07,1.93E-07
-10816.11127,0.300447535,6.45E-07,1.94E-07
-10849.05556,0.301362654,6.46E-07,1.95E-07
-10884.18295,0.302338415,6.47E-07,1.96E-07
-10919.30759,0.3033141,6.48E-07,1.97E-07
-10954.42948,0.304289708,6.49E-07,1.97E-07
-10987.36361,0.305204545,6.50E-07,1.98E-07
-11022.48017,0.306180005,6.51E-07,1.99E-07
-11057.59398,0.307155388,6.52E-07,2.00E-07
-11092.70505,0.308130696,6.53E-07,2.01E-07
-11125.62902,0.309045251,6.53E-07,2.02E-07
-11160.73476,0.31002041,6.54E-07,2.03E-07
-11195.83775,0.310995493,6.55E-07,2.04E-07
-11230.93799,0.3119705,6.56E-07,2.05E-07
-11263.85183,0.312884773,6.57E-07,2.06E-07
-11298.94675,0.313859632,6.58E-07,2.07E-07
-11334.03893,0.314834415,6.59E-07,2.07E-07
-11369.12836,0.315809121,6.60E-07,2.08E-07
-11402.03206,0.316723113,6.61E-07,2.09E-07
-11437.11618,0.317697672,6.62E-07,2.10E-07
-11472.19756,0.318672154,6.63E-07,2.11E-07
-11507.2762,0.319646561,6.64E-07,2.12E-07
-11540.16977,0.320560271,6.65E-07,2.13E-07
-11575.2431,0.321534531,6.66E-07,2.14E-07
