P_AC_out_only_PE,,,P_Ac_in_only_PE,
-13500,384.5528826,,13500,417.6178388
-13536,386.8919288,,13536,419.8097159
-13572,386.9036883,,13572,419.7931825
-13608,386.9152899,,13608,419.7766516
-13644,386.9267348,,13644,419.7601234
-13680,389.2655418,,13680,421.9515864
-13716,389.2769208,,13716,421.9349763
-13752,389.2881447,,13752,421.9183688
-13788,389.2992148,,13788,421.9017638
-13824,391.6377765,,13824,424.0928129
-13860,391.6487811,,13860,424.0761262
-13896,391.6596335,,13896,424.0594421
-13932,391.6703349,,13932,424.0427605
-13968,394.0086451,,13968,426.233396
-14004,394.0192815,,14004,426.2166327
-14040,394.0297683,,14040,426.1998722
-14076,394.0401069,,14076,426.1831141
-14112,396.3781596,,14112,428.3733363
-14148,396.3884335,,14148,428.3564966
-14184,396.3985606,,14184,428.3396596
-14220,396.408542,,14220,428.3228252
-14256,398.7463314,,14256,430.5126343
-14292,398.7562485,,14292,430.4957183
-14328,398.7660214,,14328,430.4788049
-14364,398.775651,,14364,430.4618942
-14400,401.1131714,,14400,432.6512907
-14436,401.1227371,,14436,432.6342984
-14472,401.1321611,,14472,432.6173089
-14508,401.1414443,,14508,432.600322
-14544,403.4786902,,14544,434.8949737
-14580,403.4879097,,14580,434.8779012
-14616,403.4969899,,14616,434.8608315
-14652,403.5059318,,14652,434.8437643
-14688,405.8428976,,14688,437.5674697
-14724,405.8517761,,14724,437.5503002
-14760,405.8605174,,14760,437.5331333
-14796,405.8691229,,14796,437.5159691
-14832,408.2058034,,14832,440.2391634
-14868,408.2143456,,14868,440.2218969
-14904,408.2227531,,14904,440.2046332
-14940,408.2310268,,14940,440.1873721
-14976,410.5674168,,14976,442.9100558
-15012,410.5756275,,15012,442.8926924
-15048,410.5837057,,15048,442.8753318
-15084,410.5916523,,15084,442.8579739
-15120,412.9277466,,15120,445.5801471
-15156,412.9356304,,15156,445.5626871
-15192,412.9433838,,15192,445.5452299
-15228,412.9510078,,15228,445.5277753
-15264,415.2868015,,15264,448.2494386
-15300,415.2943627,,15300,448.231882
-15336,415.3017958,,15336,448.2143282
-15372,415.3091013,,15372,448.196777
-15408,417.6445896,,15408,450.9179307
-15444,417.6518325,,15444,450.9002776
-15480,417.6589493,,15480,450.8826273
-15516,417.6659406,,15516,450.8649797
-15552,420.0011186,,15552,453.5856242
-15588,420.0080475,,15588,453.5678747
-15624,420.014852,,15624,453.550128
-15660,420.0215331,,15660,453.5323841
-15696,422.3563963,,15696,456.2525197
-15732,422.3630149,,15732,456.2346741
-15768,422.3695113,,15768,456.2168312
-15804,422.375886,,15804,456.1989911
-15840,424.7104298,,15840,458.9186181
-15876,424.7167422,,15876,458.9006763
-15912,424.7229341,,15912,458.8827374
-15948,424.7290063,,15948,458.8648011
-15984,427.0632261,,15984,461.58392
-16020,427.069236,,16020,461.5658822
-16056,427.0751271,,16056,461.5478473
-16092,427.0809004,,16092,461.5298151
-16128,429.414792,,16128,464.2484261
-16164,429.4205029,,16164,464.2302925
-16200,429.4260969,,16200,464.2121617
-16236,429.4315748,,16236,464.1940337
-16272,431.7651339,,16272,466.9121374
-16308,431.7705493,,16308,466.8939079
-16344,431.7758496,,16344,466.8756813
-16380,431.7810356,,16380,466.8574576
-16416,434.1142578,,16416,469.5750542
-16452,434.1193813,,16452,469.5567292
-16488,434.1243913,,16488,469.5384069
-16524,434.1292886,,16524,469.5200876
-16560,436.46217,,16560,472.2371774
-16596,436.4670048,,16596,472.2187569
-16632,436.4717278,,16632,472.2003391
-16668,436.4763396,,16668,472.1819243
-16704,438.8088761,,16704,474.8985077
-16740,438.8134254,,16740,474.8799918
-16776,438.8178644,,16776,474.8614787
-16812,438.8221939,,16812,474.8429684
-16848,441.1543817,,16848,477.5590459
-16884,441.1586485,,16884,477.5404348
-16920,441.1628067,,16920,477.5218263
-16956,441.1668569,,16956,477.5032208
-16992,443.498692,,16992,480.2187927
-17028,443.5026794,,17028,480.2000862
-17064,443.5065597,,17064,480.1813827
-17100,443.5103335,,17100,480.162682
-17136,445.8418121,,17136,482.8777487
-17172,445.8455232,,17172,482.8589472
-17208,445.8491284,,17208,482.8401486
-17244,445.8526287,,17244,482.8213528
-17280,448.1837471,,17280,485.5359146
-17316,448.1871845,,17316,485.5170182
-17352,448.1905177,,17352,485.4981246
-17388,448.1937471,,17388,485.4792339
-17424,450.5245017,,17424,488.1932911
-17460,450.5276682,,17460,488.1742999
-17496,450.5307319,,17496,488.1553116
-17532,450.5336932,,17532,488.1363262
-17568,452.8640805,,17568,490.8498791
-17604,452.8669787,,17604,490.8307931
-17640,452.8697755,,17640,490.81171
-17676,452.8724715,,17676,490.7926299
-17712,455.2024878,,17712,493.5056791
-17748,455.2051205,,17748,493.4864986
-17784,455.207653,,17784,493.4673209
-17820,455.2100859,,17820,493.4481462
-17856,457.539728,,17856,496.1606919
-17892,457.5420976,,17892,496.1414169
-17928,457.5443682,,17928,496.1221447
-17964,457.5465407,,17964,496.1028757
-18000,459.8758051,,18000,498.8149182
-18036,459.8779141,,18036,498.7955487
-18072,459.8799254,,18072,498.7761823
-18108,459.8818396,,18108,498.7568188
-18144,462.2107231,,18144,501.4683587
-18180,462.2125737,,18180,501.448895
-18216,462.214328,,18216,501.4294342
-18252,462.2159865,,18252,501.4099766
-18288,464.5444858,,18288,504.121014
-18324,464.5460805,,18324,504.1014562
-18360,464.5475801,,18360,504.0819013
-18396,464.548985,,18396,504.0623495
-18432,466.8770968,,18432,506.7728849
-18468,466.8784378,,18468,506.7532331
-18504,466.8796848,,18504,506.7335842
-18540,466.8808384,,18540,506.7139384
-18576,469.2085597,,18576,509.4239721
-18612,469.2096492,,18612,509.4042263
-18648,469.2106459,,18648,509.3844836
-18684,469.2115503,,18684,509.3647438
-18720,471.538878,,18720,512.0742763
-18756,471.539718,,18756,512.0544367
-18792,471.5404664,,18792,512.0346002
-18828,471.5411236,,18828,512.0147667
-18864,473.8680547,,18864,514.7237981
-18900,473.8686475,,18900,514.7038649
-18936,473.8691496,,18936,514.6839347
-18972,473.8695618,,18972,514.6640075
-19008,476.1960933,,19008,517.3725383
-19044,476.1964407,,19044,517.3525115
-19080,476.1966986,,19080,517.3324878
-19116,476.1968676,,19116,517.3124671
-19152,478.5229967,,19152,520.0204976
-19188,478.5231007,,19188,520.0003773
-19224,478.5231163,,19224,519.9802601
-19260,478.5230441,,19260,519.960146
-19296,480.8487678,,19296,522.6676766
-19332,480.8486303,,19332,522.647463
-19368,480.8484056,,19368,522.6272525
-19404,480.848094,,19404,522.607045
-19440,483.6167213,,19440,525.3140761
-19476,483.6163648,,19476,525.2937692
-19512,483.6159218,,19512,525.2734655
-19548,483.6153928,,19548,525.2531649
-19584,486.4146619,,19584,527.9596967
-19620,486.4140889,,19620,527.9392967
-19656,486.4134301,,19656,527.9188999
-19692,486.4126861,,19692,527.8985062
-19728,489.2113815,,19728,530.6045391
-19764,489.2105927,,19764,530.5840461
-19800,489.2097191,,19800,530.5635564
-19836,489.2087611,,19836,530.5430696
-19872,492.0068806,,19872,533.2486042
-19908,492.0058764,,19908,533.2280183
-19944,492.0047887,,19944,533.2074356
-19980,492.0036178,,19980,533.186856
-20016,494.801159,,20016,535.8918923
-20052,494.7999409,,20052,535.8712137
-20088,494.79864,,20088,535.8505382
-20124,494.7972569,,20124,535.8298659
-20160,497.5942165,,20160,538.5344044
-20196,497.5927858,,20196,538.5136331
-20232,497.5912731,,20232,538.492865
-20268,497.5896781,,20268,538.4721
-20304,500.3860549,,20304,541.1761411
-20340,500.3844119,,20340,541.1552772
-20376,500.3826878,,20376,541.1344165
-20412,500.3808812,,20412,541.113559
-20448,503.176674,,20448,543.817103
-20484,503.17482,,20484,543.7961467
-20520,503.1728838,,20520,543.7751936
-20556,503.170868,,20556,543.7542437
-20592,505.9660736,,20592,546.4572909
-20628,505.9640079,,20628,546.4362423
-20664,505.9618629,,20664,546.4151968
-20700,505.9596381,,20700,546.3941544
-20736,508.7542533,,20736,549.0967056
-20772,508.7519792,,20772,549.0755649
-20808,508.7496246,,20808,549.0544266
-20844,508.7471901,,20844,549.0332923
-20880,511.5412147,,20880,551.7353467
-20916,511.5387305,,20916,551.7141146
-20952,511.5361677,,20952,551.6928841
-20988,511.5335267,,20988,551.6716579
-21024,514.3269575,,21024,554.3732173
-21060,514.3242654,,21060,554.3518919
-21096,514.3214945,,21096,554.3305704
-21132,514.3186463,,21132,554.3092515
-21168,517.111481,,21168,557.0103155
-21204,517.1085813,,21204,556.9888988
-21240,517.1056036,,21240,556.9674854
-21276,517.1025485,,21276,556.946075
-21312,519.8947868,,21312,559.6466432
-21348,519.8916797,,21348,559.6251344
-21384,519.8884954,,21384,559.6036292
-21420,519.8852346,,21420,559.5821272
-21456,522.6768732,,21456,562.2822013
-21492,522.6735599,,21492,562.2606014
-21528,522.6701703,,21528,562.2390045
-21564,522.6667039,,21564,562.21741
-21600,525.4577416,,21600,564.9169896
-21636,525.4542223,,21636,564.8952978
-21672,525.4506275,,21672,564.8736092
-21708,525.4469578,,21708,564.8519244
-21744,528.2373922,,21744,568.0392852
-21780,528.2336671,,21780,568.0174835
-21816,528.2298683,,21816,567.9956843
-21852,528.2259945,,21852,567.9738891
-21888,531.0158232,,21888,571.3666939
-21924,531.0118945,,21924,571.3447735
-21960,531.0078909,,21960,571.3228568
-21996,531.0038141,,21996,571.3009435
-22032,533.7930369,,22032,574.6931307
-22068,533.7889036,,22068,574.6710925
-22104,533.7846974,,22104,574.6490584
-22140,533.7804177,,22140,574.6270268
-22176,536.5690312,,22176,578.0185968
-22212,536.5646956,,22212,577.9964418
-22248,536.5602859,,22248,577.9742891
-22284,536.5558044,,22284,577.9521404
-22320,539.3438072,,22320,581.3430935
-22356,539.3392684,,22356,581.3208207
-22392,539.3346572,,22392,581.2985504
-22428,539.3299742,,22428,581.2762843
-22464,539.3252188,,22464,581.254021
-22500,542.112624,,22500,584.6442312
-22536,542.1078115,,22536,584.6218443
-22572,542.102927,,22572,584.5994599
-22608,542.0979709,,22608,584.5770794
-22644,544.8847612,,22644,587.9666737
-22680,544.8797476,,22680,587.944169
-22716,544.8746627,,22716,587.921668
-22752,544.8695069,,22752,587.8991704
-22788,547.655681,,22788,591.28815
-22824,547.6504663,,22824,591.2655285
-22860,547.645181,,22860,591.24291
-22896,547.6398267,,22896,591.220295
-22932,550.4253811,,22932,594.6086593
-22968,550.4199673,,22968,594.5859208
-23004,550.4144828,,23004,594.5631856
-23040,550.408929,,23040,594.5404532
-23076,553.1938642,,23076,597.9282045
-23112,553.1882494,,23112,597.905348
-23148,553.1825666,,23148,597.882496
-23184,553.1768144,,23184,597.8596479
-23220,555.961127,,23220,601.2467846
-23256,555.9553142,,23256,601.2238119
-23292,555.9494322,,23292,601.2008429
-23328,555.9434826,,23328,601.1778771
-23364,558.7271721,,23364,604.5644004
-23400,558.7211602,,23400,604.5413113
-23436,558.7150811,,23436,604.5182262
-23472,558.7089331,,23472,604.4951436
-23508,561.4919979,,23508,607.8810547
-23544,561.4857881,,23544,607.8578491
